nombre_norm,scian_2,nombre_sector,pais_origen,scian_3
WALMART,46,Comercio al por menor,MX,462
WALMART DE MEXICO,46,Comercio al por menor,MX,462
WALMEX,46,Comercio al por menor,MX,462
SUPERAMA,46,Comercio al por menor,MX,461
SAM'S CLUB,46,Comercio al por menor,MX,462
SAMS CLUB,46,Comercio al por menor,MX,462
BODEGA AURRERA,46,Comercio al por menor,MX,461
OXXO,46,Comercio al por menor,MX,461
FEMSA,46,Comercio al por menor,MX,312
SEVEN ELEVEN,46,Comercio al por menor,MX,461
7 ELEVEN,46,Comercio al por menor,MX,461
CIRCLE K,46,Comercio al por menor,MX,461
EXTRA,46,Comercio al por menor,MX,461
SORIANA,46,Comercio al por menor,MX,462
CHEDRAUI,46,Comercio al por menor,MX,462
COMERCIAL MEXICANA,46,Comercio al por menor,MX,461
LA COMER,46,Comercio al por menor,MX,462
CITY MARKET,46,Comercio al por menor,MX,461
FRESKO,46,Comercio al por menor,MX,461
LIVERPOOL,46,Comercio al por menor,MX,462
PALACIO DE HIERRO,46,Comercio al por menor,MX,462
EL PALACIO DE HIERRO,46,Comercio al por menor,MX,461
SEARS,46,Comercio al por menor,MX,462
SANBORNS,46,Comercio al por menor,MX,461
COPPEL,46,Comercio al por menor,MX,462
ELEKTRA,46,Comercio al por menor,MX,462
FAMSA,46,Comercio al por menor,MX,462
SUBURBIA,46,Comercio al por menor,MX,463
FONDO DE CULTURA ECONOMICA,46,Comercio al por menor,MX,461
GANDHI,46,Comercio al por menor,MX,461
HOME DEPOT,46,Comercio al por menor,MX,466
HOMEDEPOT,46,Comercio al por menor,MX,461
COSTCO,46,Comercio al por menor,MX,462
IKEA,46,Comercio al por menor,MX,461
AMAZON,46,Comercio al por menor,US,469
MERCADO LIBRE,43,Comercio al por mayor,AR,431
MERCADOLIBRE,43,Comercio al por mayor,AR,431
TEMU,46,Comercio al por menor,CN,461
SHEIN,46,Comercio al por menor,CN,461
FARMACIAS DEL AHORRO,46,Comercio al por menor,MX,464
FARMACIA DEL AHORRO,46,Comercio al por menor,MX,464
FARMACIAS BENAVIDES,46,Comercio al por menor,MX,461
FARMACIAS GUADALAJARA,46,Comercio al por menor,MX,464
FARMACIAS SAN PABLO,46,Comercio al por menor,MX,461
SUPERFARMACIAS,46,Comercio al por menor,MX,461
APPLE,31,Industrias manufactureras,US,334
BEST BUY,46,Comercio al por menor,US,461
OFFICE DEPOT,46,Comercio al por menor,US,465
OFFICEDEPOT,46,Comercio al por menor,US,461
ZARA,46,Comercio al por menor,ES,461
PULL BEAR,46,Comercio al por menor,ES,461
BERSHKA,46,Comercio al por menor,ES,461
STRADIVARIUS,46,Comercio al por menor,ES,461
MASSIMO DUTTI,46,Comercio al por menor,ES,461
H M,46,Comercio al por menor,SE,461
HM,46,Comercio al por menor,SE,461
H&M,46,Comercio al por menor,SE,461
ZARA HOME,46,Comercio al por menor,ES,461
INDITEX,46,Comercio al por menor,ES,461
NIKE,46,Comercio al por menor,US,461
ADIDAS,46,Comercio al por menor,DE,461
PUMA,46,Comercio al por menor,DE,461
REEBOK,46,Comercio al por menor,US,461
UNDER ARMOUR,46,Comercio al por menor,US,461
DECATHLON,46,Comercio al por menor,FR,461
PETCO,46,Comercio al por menor,US,469
PETCO MEXICO,46,Comercio al por menor,US,461
PEPSI,31,Industrias manufactureras,US,312
PEPSICO,31,Industrias manufactureras,US,312
COCA COLA,31,Industrias manufactureras,US,312
COCACOLA,31,Industrias manufactureras,US,311
